Crop,Block Type,Field Week Start,Field Week End,Total Yield Per Bedfoot,Harvest Weeks,DTM Days To Maturity,Rows Per Bed,DS Seed Rate (seeds/ rowfoot),TP Inrow Spacing (ft),Seeder Settings,Trellis System,Mulch,Row Cover,Irrigation,Planned WTM,Actual or Planned Weekly Yield per Bedfoot,Weekly Yield Forecast
Eggplant Asian,Field,20,24,1,6,56,1,,1,,4' oak stakes + twine,landscape fabric,Light,drip tape,8,,0.17
Eggplant Italian Black,Field,20,24,1,6,56,1,,1,,4' oak stakes + twine,landscape fabric,Light,drip tape,8,,0.17
Eggplant Italian Striped,Field,20,24,1.1,10,56,1,,1,,4' oak stakes + twine,landscape fabric,Light,drip tape,8,,0.11
Eggplant Mini,Field,20,24,0.7,8,63,1,,1,,hoop,landscape fabric,Light,drip tape,9,,0.09
Escarole,Field,14,45,2,3,49,2,,1,,,,,drip tape,7,,0.67
Escarole,High Tunnel,1,52,3,4,80,3,,1,,,,,drip tape,11,,0.75
Fennel,Field,14,35,2,4,70,2,,1,,,,,drip tape,10,,0.5
Frisee,Field,14,36,1,3,48,2,,0.5,,,,,overhead & drip tape,7,,0.33
Garlic,Field,1,52,6,1,255,2,,0.5,,,,,drip tape,36,,6
Garlic Green,High Tunnel,1,52,2,3,180,3,,0.24,,,,,drip tape,26,,0.67
Garlic Scape,Field,1,52,0.4,3,210,2,,0.5,,,,,,30,,0.13
Greens Mix Amaranth,Field,21,31,0.7,3,21,4,100,,,,,,overhead,3,,0.23
Greens Mix Baby Kale,Field,14,36,0.7,3,21,4,65,,XY-24(standard rate) or XY-36,,,Light,overhead,3,,0.23
Greens Mix Baby Kale,High Tunnel,1,52,1.2,8,60,4,65,,XY-24(standard rate) or XY-36,,,,overhead & drip tape,9,,0.15
Greens Mix Cheap Frills,Field,14,36,0.7,3,21,4,100,,XY-24(standard rate) or XY-36,,,Light,overhead,3,,0.23
Greens Mix Cheap Frills,High Tunnel,1,52,1.2,8,60,4,100,,XY-24(standard rate) or XY-36,,,,overhead & drip tape,9,,0.15
Greens Mix Mizuna,Field,14,36,0.7,3,21,4,65,,XY-24(standard rate) or XY-36,,,Light,overhead,3,,0.23
Greens Mix Mizuna,High Tunnel,1,52,1.2,8,60,4,65,,XY-24(standard rate) or XY-36,,,,overhead & drip tape,9,,0.15
Greens Mix Purslane,Field,14,25,0.5,3,48,4,30,,,,,Light,overhead & drip tape,7,,0.17
Greens Mix Rosie,Field,14,36,0.7,3,21,4,65,,XY-24(standard rate) or XY-36,,,Light,overhead & drip tape,3,,0.23
Greens Mix Tokyo Bekana,Field,14,36,0.7,3,14,4,65,,XY-24(standard rate) or XY-36,,,Light,overhead,2,,0.23
Greens Mix Tokyo Bekana,High Tunnel,1,52,1.2,8,60,4,65,,XY-24(standard rate) or XY-36,,,,overhead & drip tape,9,,0.15
Kale Curly,Field,14,35,1.25,8,42,1,,1,,,,Light,drip tape,6,,0.16
Kale Curly,High Tunnel,1,52,1.6,16,84,3,,1,,,,Light,drip tape,12,,0.1
Kale Lacinato,Field,14,35,1.25,8,42,1,,1,,,,Light,drip tape,6,,0.16
Kale Lacinato,High Tunnel,1,52,1.6,16,84,3,,1,,,,Light,drip tape,12,,0.1
Kale Russian,Field,14,35,1.25,8,60,1,,1,,,,Light,drip tape,9,,0.16
Kale Russian,High Tunnel,1,52,1.6,16,84,3,,1,,,,Light,drip tape,12,,0.1
Kohlrabi,Field,14,35,1,3,35,2,,0.5,,,,Light,drip tape,5,,0.33
Kohlrabi Storage,Field,14,35,4,4,42,2,,0.5,,,,,drip tape,6,,1
Komatsuna,Field,14,36,1.5,2,28,2,,0.5,,,,Light,drip tape,4,,0.75
Komatsuna,High Tunnel,1,52,2,2,70,4,,0.5,,hoop,,Light,drip tape,10,,1
Lettuce Head,Field,14,36,3,2,42,2,,0.5,,,,,drip tape,6,,1.5
Lettuce Mini Gem,Field,14,36,3,2,42,2,,0.5,,,,,drip tape,6,,1.5
Lettuce Mini Gem,High Tunnel,1,52,7,3,70,4,,0.5,,,,,drip tape,10,,2.33
Lettuce Mix SN,Field,14,36,0.5,1,55,2,,0.5,,,,,drip tape,8,,0.5
Lettuce Mix SN,High Tunnel,1,52,1.5,8,77,4,,0.5,,,,,drip tape,11,,0.19
Mustard,Field,14,36,1.5,2,28,2,,0.5,,hoop,,Light,drip tape,4,,0.75
Mustard,High Tunnel,1,52,2,16,70,3,,0.5,,,,,drip tape,10,,0.13
Okra,High Tunnel,18,22,1,9,49,1,,1,,,,,drip tape,7,,0.11
Onion Spring,Field,14,20,1,3,77,2,,0.5,,,,Light,drip tape,11,,0.33
Parsley,Field,14,30,5,8,63,2,,0.33,,,,,drip tape,9,,0.63
Parsley,High Tunnel,1,52,2,8,98,4,,0.25,,,,,drip tape,14,,0.25
Pea Shelling,High Tunnel,12,17,1,2,60,2,36,0.15,PP,4' oak stakes + twine,landscape fabric,,drip tape,9,,0.5
Pea Snap,High Tunnel,8,17,1,4,60,2,36,,,t-post & conduit + twine,landscape fabric,,drip tape,9,,0.25
Peas Snap PP,High Tunnel,8,17,1,4,60,2,,0.15,,t-post & conduit + twine,landscape fabric,,drip tape,9,,0.25
Pepper Carmen,Field,21,24,3,8,70,1,,1,,4' oak stakes + twine,landscape fabric,,drip tape,10,,0.38
Pepper Hot,Field,21,24,10,8,58,1,,1,,4' oak stakes + twine,landscape fabric,,drip tape,8,,1.25
Pepper Lunchbox,Field,21,24,2,8,80,1,,1,,4' oak stakes + twine,landscape fabric,,drip tape,11,,0.25
Pepper Shishito,Field,21,24,2,8,53,1,,1,,4' oak stakes + twine,landscape fabric,,drip tape,8,,0.25
Potato Blue,Field,15,20,2,1,90,1,0.125,,,,,,overhead,13,,2
Potato Fingerling,Field,15,20,2,1,90,1,0.125,,,,,,overhead,13,,2
Potato Red,Field,15,20,2,1,90,1,0.125,,,,,,overhead,13,,2
Potato White,Field,15,20,2,1,90,1,0.125,,,,,,overhead,13,,2
Potato Yellow,Field,15,20,2,1,90,1,0.125,,,,,,overhead,13,,2
Puntarelle,Field,15,35,2,3,120,2,,1,,,,,drip tape,17,,0.67
Radicchio Forced,Field,15,34,0.75,3,90,2,,1,,,,,drip tape,13,,0.25
Radicchio Pink,Field,15,34,2,5,90,2,,1,,,,,drip tape,13,,0.4
Radicchio Round,Field,14,35,2,3,75,2,,1,,,,,drip tape,11,,0.67
Radicchio Treviso,Field,14,34,2,3,80,2,,1,,,,,drip tape,11,,0.67
Radicchio Variegated,Field,14,35,2,3,55,2,,1,,,,,drip tape,8,,0.67
Radish Daikon Bulk,Field,15,35,3.5,4,55,2,30,,F-24,,,Light,overhead,8,,0.88
Radish Daikon Mix,Field,14,37,2,4,55,2,25,,F-24,,,Light,overhead,8,,0.5
Radish French Breakfast,Field,14,37,2,2,25,4,35,,X-30 sly up,,,Light,overhead,4,,1
Radish French Breakfast,High Tunnel,1,52,3,3,42,4,35,,F24 up,,,,overhead & drip tape,6,,1
Radish Purple,Field,14,37,2,2,25,4,30,,X-30,,,Light,overhead,4,,1
Radish Purple,High Tunnel,1,52,3,3,42,4,35,,X-30,,,Light,overhead & drip tape,6,,1
Radish Red,Field,14,37,2,2,25,4,30,,X-30 sly down,,,Light,overhead,4,,1
Radish Red,High Tunnel,1,52,3,3,42,4,35,,X-30 sly down,,,,overhead & drip tape,6,,1
Scallion,Field,14,33,3,2,63,2,,0.17,,hoop,,Proteknet,drip tape,9,,1.5
Scallion,High Tunnel,1,52,3,6,98,4,,0.25,,hoop,,Proteknet,drip tape,14,,0.5
Spinach,Field,13,34,0.5,3,49,2,,0.25,,,,,overhead & drip tape,7,,0.17
Spinach,High Tunnel,1,52,1.75,16,84,4,,0.25,,,,,overhead & drip tape,12,,0.11
Sweet Potato Covington,Field,22,25,1,1,90,1,,1,,,landscape fabric,,drip tape,13,,1
Sweet Potato Murasaki,Field,22,25,1,1,90,1,,1,,,landscape fabric,,drip tape,13,,1
Tokyo Bekana,Field,14,36,1.5,2,28,2,,0.5,,hoop,,Light,,4,,0.75
Tomato Cherry Mix,High Tunnel,1,52,6,8,65,1,,1,,lower & lean,landscape fabric,,drip tape,9,,0.75
Tomato Cherry Mix,Field,21,24,2.3,8,57,1,,1.5,,t-post & conduit + twine,landscape fabric,,drip tape,8,,0.29
Tomato Cherry Sungold,High Tunnel,1,52,6,8,65,1,,1,,lower & lean,landscape fabric,,drip tape,9,,0.75
Tomato Cherry Sungold,Field,21,24,2.3,8,57,1,,1.5,,t-post & conduit + twine,landscape fabric,,drip tape,8,,0.29
Tomato Heirloom,High Tunnel,1,52,4,8,75,1,,1,,lower & lean,landscape fabric,,drip tape,11,,0.5
Tomato Heirloom,Field,21,24,3,8,65,1,,1.5,,t-post & conduit + twine,landscape fabric,,drip tape,9,,0.38
Tomato Red,Field,21,24,6.5,8,65,1,,1.5,,t-post & conduit + twine,landscape fabric,,drip tape,9,,0.81
Tomato Sauce,Field,21,24,4.5,8,75,1,,1.5,,t-post & conduit + twine,landscape fabric,,drip tape,11,,0.56
Turnip,Field,14,36,2,3,50,2,30,,Y-24 up (50/rotation),,,Light,overhead & drip tape,7,,0.67
Turnip Bulk,Field,15,36,2,1,55,2,35,,YYJ-24,,,,overhead & drip tape,8,,2
Winter Squash Acorn,Field,21,26,1,4,85,1,,1.5,,,,,drip tape,12,,0.25
Winter Squash Butternut,Field,21,26,0.75,4,105,0.5,,1.5,,,,,drip tape,15,,0.19
Winter Squash Delicata,Field,21,26,2.5,4,100,1,,1.5,,,,,drip tape,14,,0.63
Winter Squash Futsu,Field,21,26,0.5,4,88,0.5,,1.5,,,,,drip tape,13,,0.13
Winter Squash Honeynut,Field,21,26,1,4,105,0.5,,1.5,,,,,drip tape,15,,0.25
Winter Squash Kabocha,Field,21,26,1,4,100,1,,1.5,,,,,drip tape,14,,0.25
Winter Squash Koginut,Field,21,26,0.5,4,105,0.5,,1.5,,,,,drip tape,15,,0.13
Yu Choy,Field,14,36,1.5,2,28,2,,0.5,,hoop,,Light,,4,,0.75
Zucchini Green,Field,15,25,0.5,3,48,0.5,,2,,hoop,landscape fabric,Light,drip tape,7,,0.17
Zucchini Striped,Field,15,25,0.5,3,48,0.5,,2,,hoop,landscape fabric,Light,drip tape,7,,0.17
Zucchini Yellow,Field,15,25,0.5,3,48,0.5,,2,,hoop,landscape fabric,Light,drip tape,7,,0.17
Oats & Peas,Field,12,37,,,45,6.5,12,,"Drill, Plate F, Gear 3-5",,,,,6,,0
Buckwheat,Field,19,37,,,35,6.5,12,,"Drill, Plate E, Gear 7",,,,,5,,0
Sudan Grass & Sunn Hemp,Field,25,30,,,110,6.5,12,,"Drill, Plate E, Gear 2",,,,,16,,0
Triticale & Winter Peas,Field,36,46,,,210,6.5,12,,"Drill, Plate F, Lowest Gear",,,,,30,,0
Oats & Peas,High Tunnel,1,52,,,45,6.5,12,,Use PJ Seeder,,,,,6,,0
Sweet Corn,Field,20,26,1.5,2,74,2,1.5,,Corn Planter!,,,,drip tape,11,,0.75
